,AAPL,GOOGL,JPM,MSFT,NVDA
0,0.18407332788335293,0.10207724712923226,0.40609568012277975,0.3077537362738023,8.590832647541263e-09
1,0.17649242402012064,0.12689667907962654,0.4185242722046496,0.2780866217307183,2.9648850562832616e-09
2,0.16887988415031277,0.1518196581961696,0.4310047143887653,0.2482956896387687,5.362598362118997e-08
3,0.1612673239137269,0.176742728046982,0.4434851978353314,0.21850469698227135,5.322168833825048e-08
4,0.1562728255211648,0.18846533655693218,0.4503779612182151,0.19668128153294495,0.008202595170742904
5,0.15194369562318547,0.19683301137318232,0.45585060698008373,0.17688289869109183,0.018489787332456677
6,0.14761485876246427,0.20519924635815556,0.46132263645395327,0.15708536515432264,0.028777893271104294
7,0.14328607397652646,0.2135652933168239,0.4667945817174248,0.13728791719379402,0.03906613379543089
8,0.13895721522788654,0.22193159339448304,0.47226663929606844,0.11749035781350357,0.04935419426805837
9,0.13462837114966766,0.23029782740546734,0.47773866688503563,0.09769283341870257,0.059642301141126716
10,0.13029952564417344,0.23866404171778713,0.4832106829802207,0.07789532481078944,0.0699304248470293
11,0.12597064266201072,0.2470302481581522,0.48868267973537494,0.05809786031472701,0.08021856912973523
12,0.12164187255303788,0.2553964678969521,0.49415472934552485,0.038300275581653394,0.09050665462283176
13,0.11731283457014673,0.2637626796166515,0.49962667023255464,0.018502975558594904,0.10079484002205212
14,0.11172309798496526,0.2721992514412579,0.5046646123111626,6.994563271572879e-06,0.1114060436993427
15,0.08822123013070797,0.2816354658134328,0.5035362241913114,2.8694288724211716e-07,0.1266067929216605
16,0.06471312095499182,0.2910720302520838,0.5024056900149426,2.1892296079110826e-08,0.14180913688568575
17,0.04120477147604816,0.30050860544709856,0.5012750673790574,7.70899811716591e-09,0.15701154798879793
18,0.017696531038618523,0.3099451249020713,0.5001443000379793,2.485649947764139e-08,0.1722140191648314
19,4.369971319315271e-07,0.3170247044892906,0.4934758728980053,7.147578185807951e-09,0.1894989784679939
20,3.930919125749081e-08,0.3169282852012885,0.469947294074083,3.946068523218204e-09,0.21312437746936874
21,3.519346168859497e-09,0.31683171933862136,0.44641837082920743,5.96574228152962e-10,0.2367499057162508
22,7.874740944942301e-08,0.3167350992945567,0.4228893133961803,1.7534030742780403e-08,0.2603754910278228
23,2.7830551545720344e-08,0.31663854248764517,0.39936041423176827,7.442494819602677e-09,0.2840010080075402
24,1.2270366445350284e-08,0.3165419687820494,0.3758314726199563,3.604773593726489e-09,0.3076265427228543
25,6.468592379449865e-09,0.3164453901975988,0.35230251839855536,2.042877918157724e-09,0.3312520828923757
26,3.854388432527585e-09,0.31634881019146277,0.3287735599002127,1.2463241996353672e-09,0.35487762480761187
27,2.6785155184009584e-09,0.316252229359556,0.30524459941661675,8.918954638589861e-10,0.37850316765341635
28,1.987749001847652e-09,0.3161556481742053,0.2817156383353467,6.737555098301796e-10,0.4021287108289436
29,1.728622651313477e-09,0.31605906679080886,0.2581866766354298,5.862785211323313e-10,0.4257542542588601
30,1.609290990692916e-09,0.31596248493674256,0.23465771502239513,5.456209233664703e-10,0.44937979788595045
31,1.4407394584446728e-09,0.315865902982102,0.21112875357746946,4.848763309571269e-10,0.4730053415148127
32,1.427455241614897e-09,0.3157693206996055,0.18759979208428842,4.807057104107301e-10,0.49663088530794514
33,1.7897830069825683e-09,0.3156727383472164,0.164070829982711,5.992962238956218e-10,0.5202564292809935
34,2.9547188201557193e-09,0.3155761551874478,0.1405418669774056,1.0214319111750486e-09,0.5438819738589958
35,4.327154206276561e-09,0.31547957010112043,0.1170129049502141,1.5499942393008835e-09,0.5675075190715171
36,6.622011112624971e-09,0.3153829787203213,0.09348394577588755,2.4513495222641937e-09,0.5911330664304306
37,1.184979934756616e-08,0.3152863523899682,0.06995500661458957,4.534778602992341e-09,0.6147586246108643
38,3.123195133845423e-10,0.31518982694094777,0.04642602488735986,1.242350311809487e-10,0.6383841477351379
39,2.3837380084323495e-09,0.3150931052132276,0.022897161528663484,9.906961396499188e-10,0.6620097298836747
40,5.602520643869249e-10,0.31413107551397523,2.515982397489922e-06,2.4511305147128e-10,0.6858664076982622
41,1.9459943752190515e-09,0.28193515121106183,1.2621158237528005e-07,9.033013204947804e-10,0.7180647197280602
42,2.1826000526022422e-10,0.24973613917633664,5.917194866626099e-09,1.0773196785853897e-10,0.7502638545804765
43,5.733755890070617e-09,0.2175368259230643,9.100040133481786e-08,3.005865559262406e-09,0.7824630743369129
44,2.1789023811447305e-09,0.1853377489071874,2.2366266491474194e-08,1.2197100958908589e-09,0.8146622253279336
45,9.67902336277407e-10,0.15313859327942017,6.397796986298068e-09,5.904725758375197e-10,0.8468613987644079
46,3.441005194542374e-10,0.12093942022920773,1.956499696986964e-09,2.425751371470389e-10,0.8790605772276169
47,9.116914614850772e-11,0.08874024084245956,1.423255597830695e-09,5.120435660207141e-11,0.9112597575919114
48,7.965165414757153e-10,0.056541056554326063,1.8576091770987188e-09,7.811128727551929e-10,0.9434589400104353
49,9.5216035789593e-10,0.024341875664110602,1.1510425401294152e-09,1.1083095573091808e-09,0.9756581211243769
